,0
1877,time
1878,president
1879,gets
1880,opening
1881,party
1882,controls
1883,senate
1884,going
1885,appoint
1886,somebody
1887,even
1888,ideological
1889,even
1890,extreme
1891,wing
1892,base
1893,worry
1894,getting
1895,bipartisan
1896,support
1897,worry
1898,reaching
1899,party
1900,well
1901,chris
1902,really
1903,restoration
1904,status
1905,quo
1906,george
1907,bush
1908,administration
1909,thing
1910,filibustering
1911,judges
1912,particular
1913,judges
1914,supreme
1915,court
1916,clarence
1917,thomas
1918,got
1919,votes
1920,confirmed
1921,one
1922,senator
1923,could
1924,required
1925,votes
1926,theory
1927,basically
1928,developed
1929,chuck
1930,schumer
1931,democratic
1932,leadership
1933,george
1934,bush
1935,administration
1936,think
1937,danger
1938,happening
1939,means
1940,elect
1941,president
1942,know
1943,going
1944,ones
1945,get
1946,nominate
1947,judges
1948,going
1949,get
1950,support
1951,least
1952,votes
1953,judge
1954,gorsuch
1955,got
1956,bipartisan
1957,support
1958,votes
1959,senate
1960,confirmation
1961,deserves
1962,deserved
1963,senator
1964,cardin
1965,want
1966,ask
1967,strategy
1968,know
1969,democrats
1970,said
1971,maybe
1972,filibuster
1973,gorsuch
1974,thought
1975,well
1976,fact
1977,done
1978,lead
1979,president
1980,trump
1981,nominate
1982,number
1983,opening
1984,someone
1985,moderate
1986,made
1987,strategic
1988,mistake
1989,sense
1990,president
1991,trump
1992,knows
1993,nominate
1994,anyone
1995,almost
1996,anyone
1997,want
1998,get
1999,votes
2000,bare
2001,majority
2002,senate
2003,get
2004,well
2005,john
2006,cornyn
2007,friend
2008,mean
2009,disagree
2010,issue
2011,think
2012,damage
2013,done
2014,future
2015,nominees
2016,supreme
2017,court
2018,think
2019,damage
2020,done
2021,senate
2022,institution
2023,important
2024,country
2025,think
2026,damage
2027,mean
2028,democrats
2029,filibustering
2030,democrats
2031,republicans
2032,blame
2033,democrats
2034,republicans
2035,handled
2036,things
2037,way
2038,done
2039,change
2040,rules
2041,bipartisan
2042,change
2043,rules
2044,accomplish
2045,purpose
2046,going
2047,ultimate
2048,filibuster
2049,merrick
2050,garland
2051,filibuster
2052,even
2053,get
2054,hearing
2055,vote
2056,united
2057,states
2058,senate
2059,less
2060,majority
2061,senators
2062,holding
2063,seen
2064,go
2065,back
2066,president
2067,obama
2068,first
2069,year
2070,second
2071,term
2072,republicans
2073,said
2074,going
2075,confirm
2076,court
